segment;expected;rank;hypothesis;codepoint;distance;similarity
8;Ж;33;Т;U+0422;1.48820748;0.40189574
8;Ж;34;Ё;U+0401;1.49325648;0.40108188
8;Ж;35;Ң;U+04A2;1.52127640;0.39662450
8;Ж;36;Ч;U+0427;1.55805152;0.39092254
8;Ж;37;Һ;U+04BA;1.57104769;0.38894650
8;Ж;38;Щ;U+0429;1.57298357;0.38865386
8;Ж;39;П;U+041F;1.61057969;0.38305668
8;Ж;40;Ц;U+0426;1.61437836;0.38250011
8;Ж;41;Н;U+041D;1.63173861;0.37997695
8;Ж;42;Г;U+0413;1.68194073;0.37286432
9;А;1;А;U+0410;0.09204699;0.91571151
9;А;2;У;U+0423;0.71934049;0.58161836
9;А;3;Ұ;U+04B0;0.74457203;0.57320649
9;А;4;Ә;U+04D8;0.94942689;0.51297128
9;А;5;З;U+0417;0.95891489;0.51048670
9;А;6;Ө;U+04E8;0.96546103;0.50878648
9;А;7;Д;U+0414;0.99288448;0.50178523
9;А;8;Э;U+042D;1.00582840;0.49854713
9;А;9;Х;U+0425;1.00801474;0.49800431
9;А;10;О;U+041E;1.05787455;0.48593827
9;А;11;І;U+0406;1.07876231;0.48105548
9;А;12;Ф;U+0424;1.10591836;0.47485222
9;А;13;Ъ;U+042A;1.11039350;0.47384528
9;А;14;С;U+0421;1.11669892;0.47243375
9;А;15;Ү;U+04AE;1.16941128;0.46095455
9;А;16;Ё;U+0401;1.17066300;0.46068874
9;А;17;Я;U+042F;1.17254991;0.46028862
9;А;18;В;U+0412;1.17591464;0.45957685
9;А;19;Қ;U+049A;1.22707643;0.44901917
9;А;20;Б;U+0411;1.23615764;0.44719566
9;А;21;Ь;U+042C;1.27585382;0.43939553
9;А;22;Ю;U+042E;1.27782297;0.43901568
9;А;23;Р;U+0420;1.29151083;0.43639331
9;А;24;Л;U+041B;1.32207120;0.43065002
9;А;25;Ц;U+0426;1.33893453;0.42754510
9;А;26;Ғ;U+0492;1.34542188;0.42636253
9;А;27;Щ;U+0429;1.35794178;0.42409868
9;А;28;Ң;U+04A2;1.35845038;0.42400722
9;А;29;Е;U+0415;1.36173174;0.42341812
9;А;30;Т;U+0422;1.36770338;0.42235020
9;А;31;Ы;U+042B;1.37738565;0.42063012
9;А;32;Ч;U+0427;1.39141818;0.41816191
9;А;33;Һ;U+04BA;1.42688122;0.41205148
9;А;34;Й;U+0419;1.42849419;0.41177780
9;А;35;Ж;U+0416;1.43391566;0.41086058
9;А;36;Н;U+041D;1.50506465;0.39919129
9;А;37;Ш;U+0428;1.52445088;0.39612575
9;А;38;К;U+041A;1.53907083;0.39384486
9;А;39;М;U+041C;1.54958891;0.39222009
9;А;40;Г;U+0413;1.56027795;0.39058259
9;А;41;П;U+041F;1.56639581;0.38965151
9;А;42;И;U+0418;1.60550596;0.38380262
10;Қ;1;Қ;U+049A;0.07158560;0.93319656
10;Қ;2;Р;U+0420;0.64322933;0.60855778
10;Қ;3;Ю;U+042E;0.75804356;0.56881412
10;Қ;4;В;U+0412;0.76302337;0.56720746
10;Қ;5;О;U+041E;0.78332491;0.56075031
10;Қ;6;Һ;U+04BA;0.79891647;0.55589018
10;Қ;7;К;U+041A;0.84027293;0.54339766
